network,state 1,state 2,state 3,state 4,state 5,state 6,state 7,state 8,state 9,state 10
vDMN,0.280257225,-0.033127647,0.105064124,0.063875566,-0.236798821,-0.087348595,0.41506241,-0.174321769,0.135783788,-0.252602213
dDMN,0.198969608,0.934679276,-0.068611897,0.211184583,-0.739868431,0.07348275,-0.157106086,-0.164631982,0.371696357,-0.522925863
Precuneus,0.152659128,-0.235857828,-0.011580508,0.092171044,-0.230419617,0.362085647,0.170631662,-0.086117249,0.274747556,-0.310240927
post_Salience,0.305553398,-0.9771782,0.123380975,0.00081011,0.048886844,0.02570078,0.083251179,-0.10773251,-0.143227343,0.620405111
anterior_Salience,-0.051346364,-0.480798257,-0.026096068,-0.088129979,0.345617632,0.56129374,-0.16669633,0.084640921,-0.593924159,0.332195988
Basal_Ganglia,-0.157525276,0.002526739,-0.172081993,-0.179289831,0.226007929,0.666040638,-0.088457422,0.135507898,-0.429518731,0.019040718
LECN,0.130469408,-0.125902686,-0.133674322,0.023483795,0.113848209,0.621685075,0.375810601,-0.045466576,-0.084506476,-0.645530297
RECN,0.085847737,-0.287186197,-0.151351703,-0.076057142,0.306629376,0.894782483,-0.038352531,0.013984935,-0.275575135,-0.337605693
Visuospatial,-0.254419693,-0.651701205,0.068558756,0.018476453,0.697280436,0.079669729,0.481103853,0.220269703,-0.771058903,-0.044839472
high_Visual,-0.879233214,-0.182396494,-0.063981046,0.149409651,-0.452788649,0.096995292,0.347242613,0.534280438,0.341750652,-0.093927578
prim_Visual,-0.07807885,-0.088905281,-0.007822408,0.079265424,-0.409681836,0.083239001,0.11033312,0.042085564,0.355345995,-0.037117649
Motor,-0.020487622,0.035830848,0.17754465,0.252735915,-0.284495565,-0.509262291,-0.153587856,0.020831298,0.168013661,0.112105594
Auditory,0.221255919,-0.17825526,0.227365918,0.260988573,-0.419584847,-0.565410201,-0.254704496,-0.130557821,0.234206169,0.431828885
Language,0.020572505,0.074733055,0.093906612,0.124895729,-0.24466533,0.211725908,-0.051811765,0.029877862,0.005369163,-0.240464854
