condition1,rest,2b,emo
high_aucg,-0.091804683,0.704052187,0.635269405
high_aucg,0.931196343,-0.863981884,-2.252747425
high_aucg,-0.287449224,0.9617969,2.074353732
high_aucg,-0.339170711,1.377780222,-1.349617234
high_aucg,0.976032827,0.156402291,-0.2264896
high_aucg,0.537631647,-1.069038517,-0.238181674
high_aucg,0.486199107,0.636079626,-0.21150913
high_aucg,-0.391479943,-0.2395669,-1.022632533
high_aucg,-1.567192197,-0.346571324,0.069969012
high_aucg,-1.598623811,0.735809859,-0.691249544
high_aucg,0.976032827,1.433134926,-0.824246887
high_aucg,-1.183406125,2.361284848,1.319787196
high_aucg,-0.046903258,-0.221344747,1.448756476
high_aucg,-1.479013778,-1.230752992,-2.334087089
high_aucg,0.784232311,-1.241195357,0.172177648
high_aucg,2.037554784,-1.155900005,-0.93617572
high_aucg,0.391497921,-0.513262868,0.401959381
high_aucg,0.802396405,0.158895203,0.303886416
high_aucg,-0.685408006,0.316208749,-0.322656909
high_aucg,-0.97933607,1.579698713,-1.290089431
high_aucg,-1.126300102,1.035918222,-1.040398412
high_aucg,-1.273264133,2.315191289,0.674255639
high_aucg,0.049412152,-0.289889152,0.823677878
high_aucg,-1.761454997,-1.15336196,-1.674177632
high_aucg,1.414434006,-0.13264232,-0.19799966
high_aucg,-0.317997927,1.499537524,1.152188622
high_aucg,-0.244515911,0.080303977,1.148088329
high_aucg,-0.669808472,-0.4674749,-0.688326526
high_aucg,0.3559588,1.273575577,-0.192288299
high_aucg,0.808053326,0.288348574,-1.874810915
high_aucg,-0.018442698,1.157767853,-0.192288299
high_aucg,0.556965926,0.016053103,-0.528792822
high_aucg,0.3559588,-0.17175325,0.144216224
high_aucg,0.572831339,1.405555305,-0.528792822
high_aucg,-1.325149154,0.646500263,-0.192288299
high_aucg,-0.876035642,-0.740819594,0.144216224
high_aucg,-0.276504748,1.195885382,-0.192288299
high_aucg,0.180334827,-0.435505843,-1.538306392
high_aucg,-0.278620011,-0.124847925,-0.528792822
high_aucg,0.863621849,1.53715847,-0.865297345
high_aucg,-0.913198821,0.070442402,-0.528792822
high_aucg,-0.065234169,-0.618596729,-1.538306392
high_aucg,0.828057542,-0.172391613,-0.192288299
high_aucg,-1.004353789,-0.562754009,0.144216224
high_aucg,0.546332444,1.075168829,-0.528792822
high_aucg,-2.800807836,1.246306006,0.144216224
high_aucg,0.062378933,-1.289203928,-0.865297345
high_aucg,0.572831339,0.89441063,2.163243363
high_aucg,-0.491081204,-0.750748364,-0.192288299
high_aucg,1.083283745,-0.970608859,-0.192288299
high_aucg,0.267669574,-0.039239162,-1.538306392
high_aucg,0.609790325,0.213931244,0.817225271
high_aucg,0.52012158,0.158097959,0.144216224
high_aucg,0.92707973,0.0707608,-1.201801868
high_aucg,1.561315525,0.381771185,0.480720747
high_aucg,0.239619352,0.055314524,-1.201801868
low_aucg,0.976032827,-0.571242535,1.710443208
low_aucg,1.122166553,1.528791711,0.219840178
low_aucg,0.197197212,0.552242501,-1.182088888
low_aucg,1.225124406,-0.46111681,1.794757581
low_aucg,-2.727701275,0.946577238,-0.249418213
low_aucg,0.683765374,0.010692733,1.085945715
low_aucg,0.049412152,-1.46992738,0.215417654
low_aucg,0.537631647,-0.839324794,0.09628472
low_aucg,0.490304247,-1.56112866,0.465352345
low_aucg,0.976032827,0.000336258,-0.53090632
low_aucg,-0.074877429,0.71666053,1.959989148
low_aucg,0.537631647,-0.777120396,-0.606292201
low_aucg,-0.538443975,-0.313045435,0.53780382
low_aucg,1.487500869,-1.15336196,0.66053826
low_aucg,-0.339170711,0.468966757,-0.221483931
low_aucg,0.442435963,-1.644241251,-1.071350212
low_aucg,0.8298991,0.467033111,0.359904452
low_aucg,0.172297331,1.103890784,0.515226349
low_aucg,-0.578074725,1.62584402,1.192180355
low_aucg,0.490304247,-1.612489886,1.002639687
low_aucg,-0.611925991,0.951952117,-0.257907593
low_aucg,-1.273264133,-0.917457189,-0.156228896
low_aucg,-0.391479943,-0.769254719,-0.292732507
low_aucg,0.197197212,-0.147866212,-0.994805018
low_aucg,-0.171033895,-0.597922242,-0.553382118
low_aucg,1.32925892,0.503772379,0.831266023
low_aucg,1.560567733,-0.236261442,0.580775039
low_aucg,-1.479013778,-1.20575752,0.315730335
low_aucg,-0.024069864,-0.037648409,-0.411031879
low_aucg,1.852835186,-1.111786237,-1.262471897
low_aucg,-1.362106797,0.788018293,0.771721224
low_aucg,-0.832372038,-0.692970134,-1.528466582
low_aucg,-0.09755188,0.028033169,0.078965835
low_aucg,-2.287535251,0.138756487,-0.528792822
low_aucg,-0.018442698,-1.960134558,0.817225271
