2back_effciency,2_back_auci_efficiency,1back_effciency,1_back_auci_efficiency
0.855272727,8.2,1.191489362,8.2
0.78,-18.94,1.076923077,-18.94
1.12,-9.12,1.931034483,-9.12
0.825263158,1.42,1.228387097,1.42
1.250232558,-0.39,1.244444444,-0.39
1,-3.35,1.513513514,-3.35
1.012307692,-5.64,1.076923077,-5.64
0.824150943,-1.55,1.806451613,-1.55
1.555555556,5.93,1.555555556,5.93
0.969230769,10.69,1.076923077,10.69
1.513513514,6.82,2.24,6.82
1.247272727,8.07,2.153846154,8.07
0.9,1.04,1.770322581,1.04
0.92,-10.08,1.272727273,-10.08
0.916363636,0.22,1.6,0.22
1.344,-0.9,1.065365854,-0.9
1.12,11.85,2.074074074,11.85
0.950943396,8.78,0.969230769,8.78
0.827826087,1.88,1.178947368,1.88
1.247272727,5.97,1.092682927,5.97
1.283902439,7.88,2.52,7.88
1.146046512,15.09,3.294117647,15.09
1.362162162,2.83,0.995555556,-1.25
1.302325581,-0.85,1.92,2.83
0.929361702,6.58,2.8,-0.85
0.926153846,4.11,1.191489362,6.58
0.9,-0.87,1.12,4.11
0.88,-2.28,1.076923077,-0.87
0.88,-0.61,0.814545455,-2.28
0.950943396,-0.82,1.555555556,-0.61
0.804102564,-5.74,1.095652174,-0.82
1.066666667,-0.25,1.5232,-5.74
1.0976,-3.75,1.166666667,-0.25
1.098039216,-1.02,1.806451613,-3.75
1.098039216,1.13,1.191489362,-1.02
0.827826087,1.32,1.12,1.13
1.056603774,-0.31,2.1,1.32
0.8,-0.73,1.05,-0.65
0.936727273,-0.47,1.306666667,-0.31
1.018181818,-0.91,1.035471698,-0.73
1.098039216,-9.46,1.4,-0.47
0.586666667,-0.93,1.435897436,-0.91
0.997818182,-2.65,0.98,-9.46
0.762553191,-4.43,1.088,-0.93
0.98,0.67,1.037037037,-2.65
1.173333333,-0.31,1.44516129,-4.43
0.988235294,-0.44,1.098039216,0.67
1.076923077,1.31,1.473684211,-0.31
0.9,-1.44,1.191489362,-0.44
0.945777778,-0.69,1.513513514,1.31
1.142857143,-2.86,1.555555556,-1.44
1.056603774,0.42,1.037037037,-0.69
0.96627451,0.08,1.145454545,-2.86
1.035471698,-0.73,1.272727273,0.42
0.808888889,-0.96,1.098039216,0.08
1.483243243,7.36,1.028571429,-0.73
1.003333333,-0.6,1.098039216,-0.96
1.12,-0.58,0.914285714,7.36
,,1.365853659,-0.6
,,1,-0.58
