condition,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
rest,0.117647059,0.076470588,0,0.041176471,0,0.011764706,0.323529412,0.064705882,0.058823529,0.305882353
rest,0.023529412,0.270588235,0,0.058823529,0.023529412,0.1,0.2,0,0.076470588,0.247058824
rest,0.105882353,0.147058824,0.088235294,0.1,0.035294118,0.041176471,0.058823529,0.211764706,0.017647059,0.194117647
rest,0.082352941,0.188235294,0.035294118,0.094117647,0.011764706,0.094117647,0.194117647,0.047058824,0.041176471,0.211764706
rest,0.058823529,0.176470588,0,0.082352941,0,0.111764706,0.235294118,0.017647059,0,0.317647059
rest,0,0.170588235,0.105882353,0.005882353,0,0.1,0.358823529,0,0.029411765,0.229411765
rest,0.041176471,0.182352941,0.017647059,0.105882353,0.011764706,0.164705882,0.152941176,0.076470588,0.052941176,0.194117647
rest,0.023529412,0.017647059,0.541176471,0.288235294,0,0.029411765,0.011764706,0.011764706,0.076470588,0
rest,0.152941176,0.152941176,0.241176471,0.064705882,0,0.052941176,0.182352941,0.011764706,0.011764706,0.129411765
rest,0.141176471,0.041176471,0.305882353,0.288235294,0.011764706,0.047058824,0.052941176,0.094117647,0,0.017647059
rest,0,0.211764706,0.041176471,0.058823529,0,0.1,0.217647059,0,0.058823529,0.311764706
rest,0,0.264705882,0.064705882,0.082352941,0.170588235,0.076470588,0.111764706,0.023529412,0,0.205882353
rest,0.117647059,0.088235294,0.023529412,0.076470588,0.035294118,0.129411765,0.147058824,0.111764706,0.041176471,0.229411765
rest,0.017647059,0.305882353,0,0.035294118,0,0.141176471,0.135294118,0,0.041176471,0.323529412
rest,0,0.117647059,0,0.470588235,0.058823529,0.123529412,0.017647059,0.017647059,0.023529412,0.170588235
rest,0,0.023529412,0.029411765,0.123529412,0.029411765,0.176470588,0.276470588,0,0.058823529,0.282352941
rest,0.064705882,0.170588235,0,0.2,0,0,0.164705882,0.123529412,0.023529412,0.252941176
rest,0,0.164705882,0.529411765,0.076470588,0,0.035294118,0.047058824,0,0,0.147058824
rest,0,0,0.223529412,0.076470588,0.047058824,0.117647059,0.229411765,0.011764706,0.152941176,0.141176471
rest,0,0.305882353,0,0.011764706,0,0.023529412,0.276470588,0.011764706,0,0.370588235
rest,0,0.211764706,0,0.011764706,0,0.041176471,0.2,0,0.052941176,0.482352941
rest,0.147058824,0.158823529,0,0.223529412,0,0.029411765,0.105882353,0.052941176,0.011764706,0.270588235
rest,0,0.235294118,0.088235294,0.135294118,0.035294118,0.041176471,0.211764706,0,0,0.252941176
rest,0.035294118,0,0.288235294,0.447058824,0,0.123529412,0.070588235,0,0.035294118,0
rest,0,0.129411765,0.488235294,0.070588235,0,0.1,0.1,0.041176471,0,0.070588235
rest,0.064705882,0.147058824,0,0.023529412,0,0.158823529,0.2,0.029411765,0.011764706,0.364705882
rest,0,0,0.317647059,0.482352941,0.035294118,0.023529412,0.052941176,0,0.011764706,0.076470588
rest,0,0.223529412,0.229411765,0.1,0,0.082352941,0.176470588,0.041176471,0.023529412,0.123529412
rest,0.047058824,0.241176471,0.047058824,0.052941176,0.052941176,0.088235294,0.141176471,0,0.023529412,0.305882353
rest,0.123529412,0.270588235,0,0,0.023529412,0,0.247058824,0.011764706,0.023529412,0.3
rest,0,0.288235294,0,0.052941176,0.023529412,0.123529412,0.276470588,0,0.023529412,0.211764706
rest,0,0.041176471,0.358823529,0.247058824,0,0.094117647,0.035294118,0.117647059,0,0.105882353
rest,0,0.247058824,0.041176471,0.070588235,0,0.147058824,0.152941176,0.029411765,0.058823529,0.252941176
rest,0.029411765,0.141176471,0.417647059,0.094117647,0,0.088235294,0.088235294,0.011764706,0.011764706,0.117647059
rest,0.029411765,0.235294118,0.070588235,0.029411765,0.011764706,0.088235294,0.341176471,0.011764706,0.035294118,0.147058824
rest,0.041176471,0.211764706,0,0.111764706,0.011764706,0.058823529,0.211764706,0.035294118,0.041176471,0.276470588
rest,0.023529412,0.329411765,0,0.023529412,0,0.017647059,0.329411765,0,0.017647059,0.258823529
rest,0,0.058823529,0.211764706,0.117647059,0.152941176,0.052941176,0.082352941,0,0.223529412,0.1
rest,0,0.270588235,0,0.023529412,0.094117647,0.023529412,0.205882353,0,0.141176471,0.241176471
