condition,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
rest,13.33333333,5.2,0,7,0,4,13.75,11,6.666666667,10.4
rest,8,11.5,0,6.666666667,8,11.33333333,11.33333333,0,13,9.333333333
rest,18,10,30,11.33333333,12,14,6.666666667,24,6,13.2
rest,14,21.33333333,12,10.66666667,4,16,13.2,8,7,14.4
rest,10,12,0,9.333333333,0,6.333333333,10,6,0,10.8
rest,0,9.666666667,12,2,0,11.33333333,17.42857143,0,5,7.8
rest,14,12.4,6,12,4,18.66666667,13,26,18,11
rest,8,6,36.8,14,0,5,4,4,13,0
rest,13,8.666666667,27.33333333,7.333333333,0,6,12.4,4,4,8.8
rest,12,14,26,14,4,8,18,16,0,6
rest,0,10.28571429,14,6.666666667,0,11.33333333,12.33333333,0,10,10.6
rest,0,11.25,22,9.333333333,14.5,8.666666667,9.5,8,0,14
rest,10,7.5,8,8.666666667,12,14.66666667,16.66666667,12.66666667,14,15.6
rest,6,14.85714286,0,6,0,12,9.2,0,14,13.75
rest,0,6.666666667,0,20,10,10.5,6,6,8,9.666666667
rest,0,8,5,10.5,10,10,13.42857143,0,10,10.66666667
rest,11,11.6,0,17,0,0,7,21,8,9.555555556
rest,0,18.66666667,45,8.666666667,0,12,16,0,0,16.66666667
rest,0,0,15.2,6.5,8,10,9.75,4,10.4,12
rest,0,10.4,0,4,0,8,13.42857143,4,0,18
rest,0,12,0,4,0,14,11.33333333,0,9,14.90909091
rest,16.66666667,9,0,12.66666667,0,5,9,18,4,10.22222222
rest,0,13.33333333,30,11.5,12,14,9,0,0,10.75
rest,12,0,19.6,21.71428571,0,14,12,0,12,0
rest,0,14.66666667,27.66666667,6,0,8.5,8.5,14,0,8
rest,11,16.66666667,0,8,0,13.5,22.66666667,5,4,17.71428571
rest,0,0,27,27.33333333,6,8,18,0,4,8.666666667
rest,0,12.66666667,15.6,4.857142857,0,14,8.571428571,7,4,8.4
rest,16,11.71428571,16,9,9,10,12,0,8,17.33333333
rest,14,11.5,0,0,8,0,14,4,8,11.33333333
rest,0,14,0,6,8,14,13.42857143,0,8,8
rest,0,4.666666667,13.55555556,10.5,0,6.4,12,20,0,12
